hp.ngrc_poly_degree,hp.ngrc_lag,count,mean,median,std
1,16,3,1319.348067872071,1424.8227134370266,472.0807828992316
1,32,3,1429.9701322888768,1733.6634971261021,526.1032652479776
1,48,3,1430.4541117319266,1730.853428043184,523.3965660611648
1,64,2,1287.28745473537,1287.28745473537,633.0534017578508
2,16,3,877.2855660330257,462.8321158210556,743.1333077458763
2,32,3,1334.2970631891046,1746.5777317332481,714.1163091699484
2,48,3,1401.7417137726477,1744.3837626533586,594.5020212611723
2,64,3,1442.5883653153053,1745.3006327980354,524.8869397192736
2,96,2,1458.7924619188677,1458.7924619188677,404.3400172815097
3,16,3,1264.1991445552133,1736.611444304494,820.1631436723615
