,final_train_perplexity,final_val_perplexity,msf_ppl
fro_norm,0.5274048176738679,0.4028557361006216,0.5373305192603457
w_mean,-0.03273200077462029,0.04089972220100744,-0.18984964537096954
w_std,0.527405413605642,0.40285805352007187,0.53732958339017
w_sign_ratio,-0.1693125843181721,-0.08428368504886724,-0.2586664431960792
w_skew,-0.022094886813945915,-0.07075062365544886,0.08893853647983303
w_kurt,-0.2074547042296615,-0.08885525992797329,-0.06592573223174136
in_sum_var,0.507890150551091,0.3248326515040481,0.42974015563689116
out_sum_var,0.507828851080516,0.326543348560286,0.42831110718857235
in_sum_cv,-0.1233857188368243,-0.07828766124406539,0.14003131393148344
out_sum_cv,-0.2430392993667146,-0.07711557870733676,-0.1646338129994632
in_sum_gini,-0.10763215076720381,-0.057696649692761004,0.14994221408426303
out_sum_gini,-0.22949440649047956,-0.059917544644965334,-0.16207052281096432
mean_abs_in_var,0.5082289148742575,0.32598864213497253,0.4281341922891946
mean_abs_out_var,0.5075636182421858,0.3241912514837452,0.4277197475546959
mean_abs_in_cv,0.10513170660553858,0.20156923299732063,0.06992246333171283
mean_abs_out_cv,-0.14814991016766368,-0.1393463135219366,-0.1853948431414927
k_in_var,-0.09355526452643821,-0.11046393426926149,-0.035131011146049114
k_out_var,0.06791931314262975,0.19984819855642993,0.2113840322808181
k_in_cv,-0.09349133322539997,-0.1100824631444397,-0.03533999717952062
k_out_cv,0.06813631430691262,0.1999563411262439,0.211119113288085
sign_balance_var,0.02199019483146024,0.05419044933331615,0.03714503391485909
